Order_ID,Order_Date,Customer_ID,Product_ID,State,City,Region,Channel,Payment_Method,Customer_Segment,Category,Product_Name,Brand,SKU_Size_g,Quantity,Unit_Price,Unit_Cost,Gross_Sales,Discount_Pct,Discount_Amount,Net_Sales,COGS,Gross_Profit,Net_Profit,Profit_Margin_Pct,Order_Status,Return_Flag,Return_Reason,Delivery_Days,Delivery_Status,Sales_Rep_ID,Distributor_ID,Warehouse_ID,Store_ID,Store_Type,Territory,Promotion_Flag,Promotion_Type,Loyalty_Member,Customer_Age,Customer_Gender,Customer_Rating,Complaint_Flag,Marketing_Source,Inventory_End_Qty,Reorder_Level,Stockout_Flag,Supplier_ID,Forecast_Quantity,Forecast_Error,Competitor_Price_Index,Sales_Target
ORD106355,2024-07-03 00:00:00,CUST103289,PROD1038,Haryana,Ambala,North,General Trade,Net Banking,Kids,Snacks,Cheez Bit,Britannia,400,21.0,150.37,108.72,3157.87,4.72,149.03,3008.85,2283.14,725.71,131.3,4.36,Returned,No,Quality Issue,12,On Time,REP019,DIST0300,WH07,STORE01475,Kirana,Rural,Yes,Price Off,No,28,Male,3.4,No,Organic,964.0,48,No,SUP0095,20.0,-1.0,0.923,42762.54
ORD108951,2025-09-25 00:00:00,CUST105717,PROD1038,Haryana,Gurugram,North,General Trade,Debit Card,Family,Biscuits,Marie Gold,Britannia,75,30.0,150.2,100.55,4505.9,4.92,221.52,4284.38,3016.38,1268.0,928.05,21.66,Delivered,No,Customer Changed Mind,2,On Time,REP077,DIST0073,WH14,STORE02087,Hypermarket,Metro,No,None,Yes,33,Male,2.8,No,Organic,572.0,88,No,SUP0073,25.0,-2.0,1.128,99498.9
ORD109949,2024-05-25 00:00:00,CUST101275,PROD1040,Telangana,Warangal,South,E-commerce,UPI,Mass,Biscuits,Tiger,Britannia,400,14.0,83.73,62.55,1172.2,2.48,29.11,1143.09,875.71,267.37,10.61,0.93,Delivered,No,None,4,On Time,REP037,DIST0044,WH15,STORE02087,Supermarket,Urban,No,Price Off,No,67,Male,3.9,No,Instagram,1236.0,82,No,SUP0065,13.0,-1.0,0.954,99259.59
ORD102976,2024-12-14 00:00:00,CUST101892,PROD1082,Haryana,Gurugram,North,Modern Trade,Debit Card,Family,Snacks,Cheez Bit,Britannia,100,20.0,31.33,13.33,626.68,8.32,52.13,574.55,266.68,307.87,254.35,44.27,Delivered,Yes,Customer Changed Mind,1,On Time,REP061,DIST0300,WH15,STORE01272,Supermarket,Metro,No,Price Off,Yes,67,Female,3.8,No,Email,496.0,447,No,SUP0114,18.0,-5.0,0.927,80269.22
ORD107409,not_a_date,CUST104199,PROD1046,Gujarat,Vadodara,West,E-commerce,,Health,Snacks,Cheez Bit,Britannia,75,16.0,160.08,111.48,2561.33,12.87,329.59,2231.73,1783.61,448.13,86.67,3.88,Delivered,No,Wrong Item,10,On Time,REP061,DIST0044,WH21,STORE02993,Online,Metro,Yes,BOGO,No,23,Female,4.7,Yes,Email,124.0,162,No,SUP0109,21.0,8.0,1.037,21260.64
ORD104421,2024-08-02 00:00:00,CUST105115,PROD1087,Gujarat,Surat,West,Modern Trade,Net Banking,Family,Biscuits,Bourbon,Britannia,500,11.0,174.18,130.42,1916.03,14.69,281.43,1634.59,1434.62,199.97,91.57,5.6,Delivered,No,Customer Changed Mind,11,On Time,REP042,DIST0203,WH18,STORE01415,Online,Metro,Yes,None,No,26,Female,4.1,No,Facebook,195.0,44,No,SUP0025,10.0,4.0,1.092,83338.23
ORD109713,2024-12-03 00:00:00,CUST104147,PROD1004,Telangana,Warangal,South,Modern Trade,Debit Card,Kids,Biscuits,Bourbon,Britannia,500,10.0,16.25,6.92,162.51,12.34,20.05,142.47,69.21,73.26,33.31,23.38,Delivered,No,None,3,On Time,REP041,DIST0289,WH13,STORE02655,Distributor,Metro,Yes,BOGO,Yes,68,Male,3.8,No,Offline,1287.0,263,No,SUP0131,9.0,7.0,0.955,59060.18
ORD106062,2026-06-20 00:00:00,CUST104789,PROD1095,Delhi,Saket,North,General Trade,Credit Card,Kids,Rusk,Rusk,Britannia,250,29.0,166.78,108.21,4836.69,17.61,851.83,3984.86,3138.12,846.74,592.11,14.86,Pending,No,Quality Issue,4,On Time,REP073,DIST0286,WH28,STORE00646,Hypermarket,Metro,Yes,Price Off,No,51,Female,3.1,No,Google,608.0,309,No,SUP0008,35.0,7.0,0.91,37395.88
ORD100229,2024-12-03 00:00:00,CUST102136,PROD1165,Uttar Pradesh,Lucknow,North,General Trade,Cash,Kids,Biscuits,Jim Jam,Britannia,75,25.0,72.72,52.35,1817.92,8.41,152.89,1665.03,1308.87,356.16,81.76,4.91,Delivered,No,Customer Changed Mind,13,On Time,REP011,DIST0113,WH11,STORE01537,Hypermarket,Metro,No,Price Off,No,57,Male,3.4,No,Organic,1088.0,99,No,SUP0140,30.0,-4.0,1.138,86268.06
ORD104914,2024-11-30 00:00:00,CUST102853,PROD1144,Haryana,Gurugram,North,General Trade,Debit Card,Mass,Biscuits,NutriChoice,Britannia,250,3.0,202.24,107.41,606.71,2.75,16.7,590.01,322.24,267.77,207.4,35.15,Pending,No,Wrong Item,8,On Time,REP013,DIST0256,WH01,STORE02566,Supermarket,Rural,No,None,Yes,26,Male,3.9,No,Facebook,257.0,236,No,SUP0071,3.0,3.0,0.851,81586.49
ORD104962,2024-07-25 00:00:00,CUST103243,PROD1006,Karnataka,Hubballi,South,General Trade,Credit Card,Kids,Cakes,Fruit Cake,Britannia,100,18.0,155.16,119.28,2792.82,3.04,84.9,2707.92,2147.11,560.81,78.75,2.91,Delivered,No,Damaged,3,On Time,REP058,DIST0140,WH27,STORE00211,Online,Rural,Yes,BOGO,No,56,Female,4.3,No,Instagram,,300,No,SUP0043,22.0,-1.0,1.027,61818.25
ORD107539,2024-08-14 00:00:00,CUST100114,PROD1174,Rajasthan,Udaipur,West,General Trade,Cash,Premium,Biscuits,Good Day,Britannia,200,11.0,207.99,133.35,2287.9,0.08,1.92,2285.98,1466.87,819.11,485.45,21.24,Delivered,No,Damaged,2,On Time,REP059,DIST0260,WH17,STORE02655,Supermarket,Metro,Yes,BOGO,No,60,Male,3.5,No,Organic,866.0,305,No,SUP0075,9.0,2.0,1.037,47439.78
ORD102323,2025-09-03 00:00:00,CUST101267,PROD1120,Haryana,Panipat,North,General Trade,Debit Card,Family,Snacks,Toastea,Britannia,500,5.0,118.31,78.33,591.56,0.0,0.0,591.56,391.63,199.93,155.05,26.21,Returned,No,Customer Changed Mind,3,On Time,REP057,DIST0212,WH12,STORE00377,Supermarket,Metro,Yes,Bundle,No,26,Male,3.9,No,Organic,1311.0,495,No,SUP0064,4.0,-10.0,0.915,53260.62
ORD106323,2026-07-28 00:00:00,CUST100198,PROD1072,Karnataka,Mysuru,South,Wholesale,Net Banking,Premium,Biscuits,Tiger,Britannia,300,17.0,157.75,94.33,2681.81,11.57,310.19,2371.62,1603.6,768.03,554.97,23.4,Delivered,No,Quality Issue,7,On Time,REP046,DIST0258,WH28,STORE02249,Distributor,Semi-Urban,No,None,Yes,66,Female,4.1,No,Instagram,886.0,218,Yes,SUP0086,15.0,-5.0,1.192,123882.81
ORD101127,2024-11-13 00:00:00,CUST103310,PROD1091,Gujarat,Surat,West,General Trade,UPI,Family,Biscuits,Milk Bikis,Britannia,500,26.0,45.16,26.59,1174.08,0.0,0.0,1174.08,691.35,482.73,267.09,22.75,Delivered,No,None,2,On Time,REP060,DIST0087,WH22,STORE01595,Supermarket,Rural,No,None,Yes,54,Male,4.4,No,Google,901.0,391,No,SUP0023,22.0,-7.0,0.899,147329.87
